name,state,charter,magnet,latitude,longitude,idnumeric,schoolid,agencyid,code,grade4,county
ANNE SULLIVAN ELEM SCHOOL,Illinois,2-No,2-No,42.107958,-87.946595,0501602302005,*0501602302005,05-016-0230-02,1709,1-Yes,COOK COUNTY
ANNETTE OFFICER ELEMENTARY,Illinois,2-No,2-No,38.613988,-90.125329,5008218902038,*5008218902038,50-082-1890-22,1712,1-Yes,ST. CLAIR COUNTY
ANTIOCH COMM HIGH SCHOOL,Illinois,2-No,2-No,42.472359,-88.092809,3404911700001,*3404911700001,34-049-1170-16,1714,2-No,LAKE COUNTY
ANTIOCH ELEM SCHOOL,Illinois,2-No,2-No,42.480613,-88.095294,3404903402001,*3404903402001,34-049-0340-04,1714,1-Yes,LAKE COUNTY
ANTIOCH UPPER GRADE SCHOOL,Illinois,2-No,2-No,42.479911,-88.115236,3404903401002,*3404903401002,34-049-0340-04,1714,2-No,LAKE COUNTY
APLINGTON MIDDLE SCHOOL,Illinois,2-No,2-No,41.986407,-89.569615,4707122201001,*4707122201001,47-071-2220-26,1716,2-No,OGLE COUNTY
APOLLO ELEM SCHOOL,Illinois,2-No,2-No,41.194577,-90.757589,2706640402001,*2706640402001,27-066-4040-26,1717,1-Yes,MERCER COUNTY
APOLLO ELEM SCHOOL,Illinois,2-No,2-No,42.063079,-87.857129,0501606302012,*0501606302012,05-016-0630-02,1710,1-Yes,COOK COUNTY
APTAKISIC JUNIOR HIGH SCHOOL,Illinois,2-No,2-No,42.174929,-87.948412,3404910201002,*3404910201002,34-049-1020-04,1710,2-No,LAKE COUNTY
ARBOR PARK MIDDLE SCHOOL,Illinois,2-No,2-No,41.577277,-87.753366,0701614501001,*0701614501001,07-016-1450-02,1701,2-No,COOK COUNTY
ARBOR VIEW ELEM SCHOOL,Illinois,2-No,2-No,41.827427,-88.064025,1902208902001,*1902208902001,19-022-0890-04,1706,1-Yes,DUPAGE COUNTY
ARBURY HILLS ELEM SCHOOL,Illinois,2-No,2-No,41.532768,-87.846752,5609916102001,*5609916102001,56-099-1610-02,1701,1-Yes,WILL COUNTY
ARC,Illinois,2-No,2-No,39.740476,-90.228575,4600000009301,*4600000009301,46-000-0000-00,1718,2-No,MORGAN COUNTY
ARCADIA ELEM SCHOOL,Illinois,2-No,2-No,41.515367,-87.700933,0701616202001,*0701616202001,07-016-1620-02,1702,1-Yes,COOK COUNTY
ARCOLA ELEMENTARY SCHOOL,Illinois,2-No,2-No,39.683624,-88.317533,1102130602002,*1102130602002,11-021-3060-26,1715,1-Yes,DOUGLAS COUNTY
ARCOLA HIGH SCHOOL,Illinois,2-No,2-No,39.683011,-88.316908,1102130600001,*1102130600001,11-021-3060-26,1715,2-No,DOUGLAS COUNTY
ARDMORE ELEM SCHOOL,Illinois,2-No,2-No,41.885137,-87.983458,1902204502001,*1902204502001,19-022-0450-02,1708,1-Yes,DUPAGE COUNTY
ARDMORE ELEM SCHOOL,Illinois,2-No,2-No,41.914874,-87.978818,1902200402011,*1902200402011,19-022-0040-02,1708,2-No,DUPAGE COUNTY
ARGENTA-OREANA ELEMENTARY SCHOOL,Illinois,2-No,2-No,39.936859,-88.872047,3905500102002,*3905500102002,39-055-0010-26,1713,1-Yes,MACON COUNTY
ARGENTA-OREANA HIGH SCHOOL,Illinois,2-No,2-No,39.986443,-88.819153,3905500100001,*3905500100001,39-055-0010-26,1713,2-No,MACON COUNTY
ARGENTA-OREANA MIDDLE SCHOOL,Illinois,2-No,2-No,39.985657,-88.820010,3905500101001,*3905500101001,39-055-0010-26,1713,2-No,MACON COUNTY
ARGO COMMUNITY HIGH SCHOOL,Illinois,2-No,2-No,41.776599,-87.804380,0701621700001,*0701621700001,07-016-2170-16,1703,2-No,COOK COUNTY
ARIEL ELEM COMMUNITY ACADEMY,Illinois,2-No,2-No,41.811028,-87.598880,1501629902895,*1501629902895,15-016-2990-25,1707,1-Yes,COOK COUNTY
ARLAND D WILLIAMS JR ELEM SCH,Illinois,2-No,2-No,39.463996,-88.365581,1101500202015,*1101500202015,11-015-0020-26,1715,1-Yes,COLES COUNTY
ARLENE WELCH ELEMENTARY SCHOOL,Illinois,2-No,2-No,41.718152,-88.197865,1902220402022,*1902220402022,19-022-2040-26,1711,1-Yes,WILL COUNTY
ARMOUR ELEM SCHOOL,Illinois,2-No,2-No,41.834048,-87.650000,1501629902058,*1501629902058,15-016-2990-25,1703,1-Yes,COOK COUNTY
ARMSTRONG  L ELEM MATH & SCI,Illinois,2-No,2-No,41.873750,-87.758610,1501629902188,*1501629902188,15-016-2990-25,1707,1-Yes,COOK COUNTY
ARMSTRONG G ELEM INTL STUDIES,Illinois,2-No,2-No,42.010626,-87.684601,1501629902059,*1501629902059,15-016-2990-25,1709,1-Yes,COOK COUNTY
ARMSTRONG HIGH SCHOOL,Illinois,2-No,2-No,40.305900,-87.880100,5409222500001,*5409222500001,54-092-2250-17,1715,2-No,VERMILION COUNTY
ARMSTRONG-ELLIS ELEM SCHOOL,Illinois,2-No,2-No,40.306940,-87.875060,5409206102001,*5409206102001,54-092-0610-03,1715,1-Yes,VERMILION COUNTY
ARMSTRONG-OAKVIEW ELEM SCHOOL,Illinois,2-No,2-No,40.699495,-89.522909,5309008602001,*5309008602001,53-090-0860-02,1718,2-No,TAZEWELL COUNTY
ARMY TRAIL ELEM SCHOOL,Illinois,2-No,2-No,41.932209,-87.997979,1902200402002,*1902200402002,19-022-0040-02,1708,1-Yes,DUPAGE COUNTY
ARNETT C LINES ELEM SCHOOL,Illinois,2-No,2-No,42.151229,-88.118649,3404922002007,*3404922002007,34-049-2200-26,1706,1-Yes,COOK COUNTY
ARNOLD J TYLER SCHOOL,Illinois,2-No,2-No,41.499193,-87.953290,5609912202010,*5609912202010,56-099-1220-02,1701,2-No,WILL COUNTY
ARNOLD W KRUSE ED CENTER,Illinois,2-No,2-No,41.610883,-87.805104,0701614602006,*0701614602006,07-016-1460-04,1701,1-Yes,COOK COUNTY
AROMA PARK PRIMARY SCHOOL,Illinois,2-No,1-Yes,41.078186,-87.808856,3204611102002,*3204611102002,32-046-1110-25,1702,2-No,KANKAKEE COUNTY
ARTHUR ELEM SCHOOL,Illinois,2-No,2-No,39.714219,-88.470992,1102130502003,*1102130502003,11-021-3050-26,1715,1-Yes,DOUGLAS COUNTY
ARTHUR FROBERG ELEM SCHOOL,Illinois,2-No,2-No,42.215646,-89.058305,0410120502027,*0410120502027,04-101-2050-25,1717,1-Yes,WINNEBAGO COUNTY
ARTHUR JR HIGH SCHOOL,Illinois,2-No,2-No,39.709982,-88.469381,1102130501001,*1102130501001,11-021-3050-26,1715,2-No,DOUGLAS COUNTY
ARTHUR SR HIGH SCHOOL,Illinois,2-No,2-No,39.709640,-88.470018,1102130500001,*1102130500001,11-021-3050-26,1715,2-No,DOUGLAS COUNTY
ASHBURN COMMUNITY ELEM SCHOOL,Illinois,2-No,2-No,41.741863,-87.709642,1501629902922,*1501629902922,15-016-2990-25,1701,1-Yes,COOK COUNTY
ASHE ELEM SCHOOL,Illinois,2-No,2-No,41.739787,-87.601036,1501629902437,*1501629902437,15-016-2990-25,1701,1-Yes,COOK COUNTY
ASHKUM EARLY LITERACY CENTER,Illinois,2-No,2-No,40.880348,-87.951440,3203800403001,*3203800403001,32-038-0040-26,1716,2-No,IROQUOIS COUNTY
ASHLEY COM CONSOLIDATED SCHOOL,Illinois,2-No,2-No,38.331950,-89.186601,1309501502001,*1309501502001,13-095-0150-04,1715,1-Yes,WASHINGTON COUNTY
ASHMORE ELEM SCHOOL,Illinois,2-No,2-No,39.531435,-88.021024,1101500102007,*1101500102007,11-015-0010-26,1715,1-Yes,COLES COUNTY
ASHTON-FRANKLIN CENTER ELEM SCH,Illinois,2-No,2-No,41.838515,-89.299570,4705227502003,*4705227502003,47-052-2750-26,1716,1-Yes,LEE COUNTY
ASHTON-FRANKLIN CENTER HS,Illinois,2-No,2-No,41.865861,-89.229690,4705227500001,*4705227500001,47-052-2750-26,1716,2-No,LEE COUNTY
