"schoolid" "id" "name" "type" "black11" "size11" "lep11" "lowinc11" "rwarn" "rbelow" "rmeet" "rexceed" "mwarn" "mbelow" "mmeet" "mexceed" "school" "state" "charter" "magnet" "latitude" "longitude" "schoolid2" "agencyid" "congress" "grade4" "county"
"76" "0300300101001" "030030010261001" "Mulberry Grove Jr High School    " "01" 6.2 28 0 49.2 NA NA NA NA NA NA NA NA "MULBERRY GROVE JR HIGH SCHOOL" "Illinois" "2-No" "2-No" 38.924051 -89.277814 "*0300300101001" "03-003-0010-26" 1713 "2-No" "BOND COUNTY"
"77" "0300300102001" "030030010262001" "Mulberry Grove Elem School       " "02" 7.8 192 0 46.8 3.2 29 38.7 29 0 16.1 77.4 6.5 "MULBERRY GROVE ELEM SCHOOL" "Illinois" "2-No" "2-No" 38.92409 -89.278604 "*0300300102001" "03-003-0010-26" 1713 "1-Yes" "BOND COUNTY"
"78" "0300300200001" "030030020260001" "Bond Cty Comm Unit 2 High School " "00" 4.8 521 0.4 30 NA NA NA NA NA NA NA NA "BOND CTY COMM UNIT 2 HIGH SCHOOL" "Illinois" "2-No" "2-No" 38.90115 -89.399253 "*0300300200001" "03-003-0020-26" 1715 "2-No" "BOND COUNTY"
"79" "0300300201002" "030030020261002" "Greenville Jr High School        " "01" 5.7 258 0.7 36.2 NA NA NA NA NA NA NA NA "GREENVILLE JR HIGH SCHOOL" "Illinois" "2-No" "2-No" 38.899775 -89.396274 "*0300300201002" "03-003-0020-26" 1715 "2-No" "BOND COUNTY"
"80" "0300300202003" "030030020262003" "Greenville Elem School           " "02" 3 658 0 47.4 0.9 22.2 44.4 32.4 0.9 7.4 68.5 23.1 "GREENVILLE ELEM SCHOOL" "Illinois" "2-No" "2-No" 38.89897 -89.396352 "*0300300202003" "03-003-0020-26" 1715 "1-Yes" "BOND COUNTY"
"81" "0300300202004" "030030020262004" "Pocahontas Center                " "02" 0 184 0 61.4 0 5 60 35 0 0 40 60 "POCAHONTAS CENTER" "Illinois" "2-No" "2-No" 38.828509 -89.539909 "*0300300202004" "03-003-0020-26" 1715 "1-Yes" "BOND COUNTY"
"82" "0300300202005" "030030020262005" "Sorento Elem School              " "02" 0 159 0 49 0 14.3 47.6 38.1 0 0 66.7 33.3 "SORENTO ELEM SCHOOL" "Illinois" "2-No" "2-No" 38.994894 -89.572956 "*0300300202005" "03-003-0020-26" 1713 "1-Yes" "BOND COUNTY"
"83" "0302501000001" "030250100260001" "Altamont High School             " "00" 0 237 0 36.8 NA NA NA NA NA NA NA NA "ALTAMONT HIGH SCHOOL" "Illinois" "2-No" "2-No" 39.059354 -88.740427 "*0302501000001" "03-025-0100-26" 1715 "2-No" "EFFINGHAM COUNTY"
"84" "0302501002002" "030250100262002" "Altamont Grade School            " "02" 1 456 0 53.3 0 31.3 42.2 26.6 0 15.6 59.4 25 "ALTAMONT GRADE SCHOOL" "Illinois" "2-No" "2-No" 39.054598 -88.744891 "*0302501002002" "03-025-0100-26" 1715 "1-Yes" "EFFINGHAM COUNTY"
"85" "0302502000001" "030250200260001" "Beecher City Jr-Sr High School   " "00" 0.5 164 0 33.5 NA NA NA NA NA NA NA NA "BEECHER CITY JR-SR HIGH SCHOOL" "Illinois" "2-No" "2-No" 39.187188 -88.799219 "*0302502000001" "03-025-0200-26" 1715 "2-No" "EFFINGHAM COUNTY"
"86" "0302502002003" "030250200262003" "Beecher City Grade School        " "02" 0 127 0 52.4 0 9.1 22.7 68.2 4.5 9.1 50 36.4 "BEECHER CITY GRADE SCHOOL" "Illinois" "2-No" "2-No" 39.188186 -88.784515 "*0302502002003" "03-025-0200-26" 1715 "1-Yes" "EFFINGHAM COUNTY"
